Row ID,target
1,91364.60592141171
2,10099.601531190332
3,163214.00694767205
4,201091.2205322201
5,207244.59148943968
6,584211.1387273967
7,244872.07193947004
8,109734.5916565985
9,180098.20823409138
10,229890.55500699184
11,96746.22818722087
12,322748.5069804681
13,175695.74790806326
14,147719.88270609913
15,140058.32601511775
16,216917.28416378328
17,179741.18665120535
18,86667.44887308183
19,134008.1126988426
20,92017.51211861655
21,167540.85828126542
22,155050.4739793427
23,183429.4729513744
24,190958.7787807769
25,243615.04716202785
26,166090.34474173377
27,125676.03328397582
28,199969.2415115619
29,276423.6199451643
30,213950.2109199534
31,185719.58143886065
32,215443.0692905605
33,143695.00369944828
34,167634.00062142932
35,283050.84440425725
36,211206.81321168112
37,172969.3125614805
38,123818.5727597457
39,199102.2523043113
40,224607.45693441504
41,216364.01537234898
42,209440.9000971549
43,207707.85426115306
44,117325.25731905791
45,34348.9527539392
46,501679.6214050044
47,193154.76261395146
48,97536.03873338044
49,133817.35120229324
50,58784.35568031011
51,181149.78450982537
52,102045.47291875456
53,192083.17612623065
54,126100.54771551845
55,305693.0191762791
56,202687.0869405119
57,185338.70395202647
58,136753.5403504736
59,189008.43583082518
60,170425.8403245011
61,99593.00662312855
62,180038.41187601106
63,83092.5814408153
64,121840.71512809015
65,309672.86741082
66,226135.4135277593
67,134715.60684099115
68,148363.831711027
69,239793.02150121392
70,149435.24342891187
71,231460.85337164492
72,158984.01135339696
73,161659.5960679119
74,232653.18816440465
75,204599.4379181222
76,134637.74849555801
77,219395.9327361358
78,124734.12053688744
79,276469.4835740163
80,152557.53962648538
81,375809.3314672179
82,225527.4240558944
83,146746.95965115717
84,313672.61088771356
85,239595.8172112479
86,212055.18831070754
87,200352.87151450093
88,201480.46337597427
89,112512.86652953216
90,53853.14095773932
91,249488.54258272445
92,270258.7610478316
93,101265.1025635365
94,182871.4797263256
95,147249.52956010602
96,222621.12074641144
97,162398.01223606028
98,83466.3539391032
99,227738.76851100533
100,150320.9491077773
101,307519.6317432704
102,185246.49714325814
103,126271.29880452479
104,124172.76071113694
105,101563.7818232979
106,274266.2231315726
107,77740.40946504544
108,182041.03498919602
109,201690.17100215686
110,174771.65605437692
111,239475.63773188525
112,200096.53736947413
113,257259.73292325242
114,50776.38227069337
115,190203.7463286103
116,194872.3477782055
117,233705.79122725033
118,158127.36193006823
119,160093.8532938797
120,138960.85235956573
121,210117.3566469526
122,89189.21103709319
123,100125.99680517457
124,133955.80215156235
125,180938.22268584475
126,199609.0932684175
127,315185.1298241966
128,159627.52244765646
129,109290.47416412662
130,255347.70602843474
131,160681.91584358626
132,134366.6460906961
133,214499.79959495825
134,35292.832871361345
135,301513.75185616006
136,182390.6322253187
137,189049.794562086
138,-11892.761186244607
139,273574.25259239506
140,137080.2451104424
141,169396.7545530642
142,227607.33703858763
143,179706.50696883703
144,232643.0068239768
145,46709.96215354279
146,167789.98026907243
147,405050.4264018425
148,218688.26015494004
149,240171.48576976208
150,208192.14291504415
151,206920.98111544648
152,110791.26495497464
153,178081.52717708942
154,210967.43818494037
155,190551.22511306265
156,191698.4442077749
157,207981.5908674018
158,81640.7734539709
159,157816.90248655912
160,291358.09263964905
161,166581.62130610688
162,129975.51749132003
163,247244.81155515343
164,204836.46122891086
165,265325.4942420552
166,176427.8655500058
167,218766.85411365295
168,224502.07249928312
169,163670.32375851643
170,221801.4816655112
171,19102.70439336158
172,91960.57652322372
173,224886.35013549041
174,57151.46302608447
175,264948.3330334695
176,165859.11674521276
177,126165.03821320937
178,283691.84814960574
179,80697.99799320195
180,316955.674151985
181,213762.19863026735
182,141680.0512878302
183,209177.1513521397
184,105849.30199988163
185,90150.8033418216
186,149178.81891821223
187,232351.90824763564
188,102839.10696608294
189,129377.9127515206
190,278188.9950097115
191,126608.58508344498
192,196240.57722523797
193,109134.02441273897
194,234692.18317627505
195,119918.17369383492
196,236681.4303119917
197,151889.81104095365
198,271988.14201666816
199,152774.36313641432
200,211497.30401595111
201,296928.70904843765
202,164453.786109968
203,119517.39766408075
204,220633.8274509616
205,232745.77381741087
206,134015.5464785696
207,311593.2549579273
208,216720.78535542544
209,94254.04818464973
210,171293.56306081562
211,38765.42610890948
212,90061.23207087972
213,115523.16487887013
214,174992.8882747727
215,111274.55337568256
216,178616.1300900011
217,212145.06370410038
218,152775.23301571453
219,146126.63976782432
220,161822.1332819741
221,229389.50009965504
222,124061.4020735765
223,217107.73059162966
224,230992.26852170558
225,281513.60929170623
226,186809.16314867695
227,205916.68711953273
228,106182.93251434789
229,268736.8042351556
230,138163.0611051615
231,280067.75570444507
232,102399.73064732028
233,159724.42307272044
234,250765.9049011311
235,263817.1552819344
236,217165.48390241514
237,201862.46724809136
238,251045.61959667088
239,128716.53981721742
240,231686.49422159276
241,78649.02783822629
242,208058.76755192573
243,221953.2516869452
244,240611.24991110366
245,255979.28582760267
246,103547.31528758758
247,202904.08690604527
248,145069.25080658143
249,197001.78890624904
250,151505.68108952194
251,196649.8151288592
252,177841.17858050455
253,96156.71599356411
254,166762.4684674957
255,90150.63197264174
256,355323.1349463075
257,87395.8667927105
258,253383.35887058527
259,95582.50096473843
260,255404.89930538688
261,190657.3100442173
262,208841.21707290463
263,233356.79300524128
264,155161.9600023522
265,100047.7246141099
266,126332.56292980502
267,40920.63451583893
268,271122.96043228894
269,117027.06714470469
270,82002.01010893582
271,230128.76778993657
272,228008.69277986718
273,77213.25572064274
274,263109.94028988894
275,305786.1649137077
276,230396.02846247103
277,233331.9716386441
278,247450.92118592895
279,165617.94136210217
280,162396.79079356167
281,162816.68257842318
282,347548.35753679596
283,191308.52142900406
284,85438.16636085062
285,151651.31528906157
286,158915.36696600774
287,158645.17315361265
288,174710.12632913602
289,43511.86909147841
290,180364.18170762353
291,2426.800732625881
292,125764.48011087428
293,483035.3923082388
294,41233.78737439867
295,91041.67750773003
296,184105.43665474892
297,207839.04980997957
298,165454.0161270861
299,145946.0393437661
300,263195.69544774725
301,157552.55544769295
302,159870.07024949818
303,100710.21223857533
304,243647.5643351012
305,136576.1636999671
306,240786.79237076105
307,71830.8959737561
308,141002.90564247954
309,-940.5130995290237
310,186123.70414452234
311,182387.24455726164
312,131078.33364503086
313,158464.56734415237
314,256690.1234049258
315,164146.15102178924
316,232610.09080393362
317,71952.04919116024
318,267472.0566549866
319,228693.64294912294
320,463755.84243093315
321,182586.1478543925
322,279425.78321387206
323,177367.23775175828
324,149180.6994362166
325,96148.69655696629
326,177118.68151931185
327,36842.42861178849
328,266709.387931551
329,177309.6847757717
330,233411.5724571413
331,118942.93031795078
332,82683.55218701618
333,198260.12945519172
334,209949.20217932723
335,215743.54166921426
336,173712.60757870905
337,38356.16628413688
338,44335.837097915995
339,235023.43646636014
340,280642.9212958943
341,180199.11182068128
342,259942.276545508
343,199592.591539285
344,113952.56194797906
345,240951.71810433108
346,133727.87922965057
347,114407.58387664004
348,288860.6659309865
349,319465.3905466269
350,230525.44932762306
351,321716.036859542
352,69490.12020132091
353,188466.46577407123
354,185935.74254223978
355,267784.70646922966
356,237046.75004413349
357,253321.66191653482
358,212507.04773353244
359,132718.05589459406
360,88007.84051182959
361,251636.99535000706
362,102202.41881711152
363,241234.8577390948
364,65535.40893143043
365,334414.6761210593
366,235882.77827835575
367,209087.49595874877
368,103049.86360037472
369,215963.82128092358
370,221714.5853816873
371,161887.472308415
372,77.00704686262179
373,206842.68382874122
374,191739.37451476435
375,246296.56680072553
376,152775.58768036633
377,236738.88325985335
378,202573.05706742016
379,180238.4533010403
380,262818.560627188
381,74220.68788787542
382,198925.9487764501
383,216009.74721257223
384,228783.8874114043
385,171342.14893943162
386,149493.98035840644
387,26301.988097806578
388,267955.1388903052
389,191566.08128229593
390,205624.43249709677
391,145113.17146604578
392,190647.1213168864
393,166634.08957616106
394,81029.70335485169
395,259444.7711685162
396,209338.1707115017
397,187615.41284246036
398,200998.16038933152
399,198187.84523957278
400,224854.70483562376
401,132749.42297129938
402,264263.3606272817
403,243171.99527582576
404,252665.44707212385
405,37440.098617089796
406,170687.7856281016
407,307285.0073712061
408,58737.45574154286
409,271870.74655508867
410,226513.75452309236
411,285100.3788104476
412,114421.18442011974
413,245363.48715324618
414,162531.3027009142
415,84542.3152841971
416,125965.23710684662
417,76639.12855119247
418,80306.16049708263
419,323357.7125670889
420,150137.99092144016
421,125111.4938954699
422,448797.1341591105
423,158268.7759598998
424,151830.0022535825
425,167247.48188517592
426,98528.75307170633
427,191910.6785107968
428,151180.47950780476
429,194818.52163209178
430,160162.08701534057
431,152621.10540670465
432,144793.76558314322
433,121882.11372734746
434,215362.30103050123
435,328853.2922259348
436,261022.98378778493
437,160835.78078324883
438,356046.5232274303
439,221408.27449123914
440,246570.46527947547
441,86307.24433334841
442,228144.6104022825
443,54794.28729129565
444,221329.27163295407
445,174643.70548197188
446,223947.6253820588
447,237700.6156532353
448,147295.59371701162
449,181566.16377495305
450,208739.16988828848
451,231331.58123325402
452,98280.14451315266
453,237463.8720526802
454,76874.74841075798
455,287534.0351426997
456,98061.11478195188
457,283773.24170270003
458,74851.51301621628
459,71017.75805817312
460,161864.19720768442
461,204924.250163364
462,232323.87833920302
463,221949.20505529756
464,169267.30125536496
465,124423.8654232526
466,70683.86164505
467,127713.18020898392
468,170981.07055161186
469,234348.1026837043
470,244974.30339538486
471,111925.30981438875
472,246525.17944866777
473,504867.17539036553
474,102848.78274196218
475,261625.95489840594
476,428281.09431440453
477,75185.59438870911
478,129761.0664297101
479,207682.83998918164
480,265339.62942915555
481,79404.17692268972
482,228373.6545606967
483,160747.707802265
484,138984.44477522688
485,185824.3577060148
